round,model,acc_mean,acc_std,prec_mean,rec_mean,f1_mean,f1_std,roc_mean,test_acc_mean,test_acc_std
MLP ronda 1,"MLP-C  [512,256] GELU drop0.2 Adam+wd",0.8937833333333334,0.0027326472716234424,0.8941185816019723,0.8937833333333334,0.8931589959934948,0.0026882607169009982,0.9925666141975309,0.8849400000000001,0.00267626605553334
MLP ronda 1,"MLP-B  [512,256,128] ReLU drop0.3 Adam",0.8916833333333333,0.0028773541086676716,0.8916810920283422,0.8916833333333333,0.8911139809605941,0.0029007912335538423,0.9921070956790123,0.88216,0.0024800000000000013
MLP ronda 1,"MLP-A  [256,128] ReLU drop0.3 Adam",0.8909166666666668,0.00371698429136072,0.8910422840670918,0.8909166666666666,0.8902996384019577,0.0038645731847427624,0.9921927492283951,0.88382,0.0024571528239000547
CNN ronda 1,"CNN-B  BN [32,64]->256,128 dropout+wd",0.9206,0.002359525611454792,0.9205711361642743,0.9206,0.9199671613505348,0.002310629130015501,0.9954420733024693,0.91404,0.0022222511109233397
CNN ronda 1,"CNN-C  BN+LeakyReLU [32,64]->128",0.9131666666666668,0.005139039036845547,0.9140180859873729,0.9131666666666668,0.9132484754612149,0.005133636155723286,0.9945378302469136,0.90784,0.006055939233512819
CNN ronda 1,"CNN-A  baseline [8,16]->128",0.8961500000000001,0.006729495605995363,0.8965331741644386,0.8961499999999999,0.8956179707398866,0.006690919072116669,0.9926239791666667,0.8897599999999999,0.006608660983890758
MLP ronda 2 (lr),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4",0.89395,0.0033211234712234514,0.8940205048272828,0.8939499999999999,0.8935597191403873,0.0037409132157984522,0.9926252407407408,0.88642,0.0030109134826494027
MLP ronda 2 (lr),"MLP-C  [512,256] GELU drop0.2 Adam+wd",0.8937833333333334,0.0027326472716234424,0.8941185816019723,0.8937833333333334,0.8931589959934948,0.0026882607169009982,0.9925666141975309,0.8849400000000001,0.00267626605553334
MLP ronda 2 (lr),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=2e-3",0.8905000000000001,0.003950210964830456,0.8906076654888306,0.8905,0.8896654412652569,0.004373565539884801,0.9922356967592594,0.8825000000000001,0.0037325594435989894
MLP ronda 3 (dropout),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3",0.8963000000000001,0.001146552804424325,0.8963454807294108,0.8962999999999999,0.8959832614340068,0.0014099908792775788,0.992641063271605,0.88764,0.002261503924383043
MLP ronda 3 (dropout),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.1",0.8955833333333334,0.001174083566967105,0.8957752304245756,0.8955833333333333,0.8953941527633111,0.000933363396358206,0.9926923533950618,0.8865399999999999,0.0017012936254509295
MLP ronda 3 (dropout),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.4",0.8955499999999998,0.002751640924571719,0.8956954844572517,0.8955500000000001,0.8951635833352366,0.002633569804419385,0.9927118109567902,0.88934,0.0016894969665554066
MLP ronda 3 (dropout),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4",0.89395,0.0033211234712234514,0.8940205048272828,0.8939499999999999,0.8935597191403873,0.0037409132157984522,0.9926252407407408,0.88642,0.0030109134826494027
MLP ronda 4 (capacidad),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3",0.8963000000000001,0.001146552804424325,0.8963454807294108,0.8962999999999999,0.8959832614340068,0.0014099908792775788,0.992641063271605,0.88764,0.002261503924383043
MLP ronda 4 (capacidad),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + [512,256,128]",0.8949,0.0026506026568394727,0.8950037372717414,0.8949,0.8944799547515446,0.002849987253876553,0.9926137839506172,0.8881,0.0021614809737770012
MLP ronda 4 (capacidad),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + [1024,512]",0.8936166666666667,0.004006331794103477,0.8947737720424364,0.8936166666666667,0.8935302647042862,0.0039607690833638005,0.9926620640432098,0.8852399999999999,0.0025468411807570562
MLP ronda 4 (capacidad),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + [256,128]",0.8935666666666666,0.0022503086208093574,0.8939859569162918,0.8935666666666668,0.893357744146536,0.0024463004863515387,0.992531949074074,0.88484,0.001382172203453705
MLP ronda 5 (weight_decay),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + wd=0",0.8969000000000001,0.0011879019787470254,0.8969454758860052,0.8969000000000001,0.8965781568044484,0.0012394266931577255,0.9926913603395062,0.8880800000000001,0.001994392137970889
MLP ronda 5 (weight_decay),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3",0.8963000000000001,0.001146552804424325,0.8963454807294108,0.8962999999999999,0.8959832614340068,0.0014099908792775788,0.992641063271605,0.88764,0.002261503924383043
MLP ronda 5 (weight_decay),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + wd=5e-4",0.8927166666666666,0.003399652760046079,0.8928478314482395,0.8927166666666666,0.8922138109375819,0.0032813125063747544,0.992290011574074,0.8834000000000002,0.0025635912310662877
MLP ronda 6 (optimizador),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + wd=0",0.8969000000000001,0.0011879019787470254,0.8969454758860052,0.8969000000000001,0.8965781568044484,0.0012394266931577255,0.9926913603395062,0.8880800000000001,0.001994392137970889
MLP ronda 6 (optimizador),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + wd=0 + RMSprop",0.8940166666666667,0.0035076305709441603,0.8943317440175858,0.8940166666666667,0.8934382481702929,0.0031307879377278428,0.9924530825617286,0.88468,0.0027257292602164127
MLP ronda 6 (optimizador),"MLP-C  [512,256] GELU drop0.2 Adam+wd + lr=5e-4 + drop=0.3 + wd=0 + SGD+mom lr=1e-2",0.8846666666666667,0.0025887040945015254,0.8842736184026156,0.8846666666666667,0.883796584074376,0.0026554975602263464,0.9913198117283951,0.8759399999999999,0.0015357083056361908
CNN ronda 2 (lr),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3",0.9226166666666668,0.0021623354144175663,0.9224899418658566,0.9226166666666666,0.9220741795893559,0.002345341253451851,0.9955698549382717,0.9159,0.002272443618662532
CNN ronda 2 (lr),"CNN-B  BN [32,64]->256,128 dropout+wd",0.9206,0.002359525611454792,0.9205711361642743,0.9206,0.9199671613505348,0.002310629130015501,0.9954420733024693,0.91404,0.0022222511109233397
CNN ronda 2 (lr),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=5e-4",0.9199999999999999,0.003025355810111931,0.9196620316388412,0.9199999999999999,0.9192709806644921,0.0032237282882976465,0.9953417878086419,0.9131599999999999,0.00214904630010615
CNN ronda 3 (dropout),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3 + conv_drop=0.1",0.9231499999999999,0.0027172289806590534,0.9231199369810706,0.92315,0.9227829845986404,0.0024986797996055642,0.9955401388888889,0.9153800000000001,0.0025214281667341023
CNN ronda 3 (dropout),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3",0.9226166666666668,0.0021623354144175663,0.9224899418658566,0.9226166666666666,0.9220741795893559,0.002345341253451851,0.9955698549382717,0.9159,0.002272443618662532
CNN ronda 3 (dropout),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3 + conv_drop=0.4",0.9207333333333333,0.002663670191463071,0.9207823532858324,0.9207333333333334,0.9201232230561779,0.002677851038116443,0.9954731705246914,0.9148799999999999,0.0036744523401453693
CNN ronda 4 (capacidad),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3 + conv_drop=0.1",0.9231499999999999,0.0027172289806590534,0.9231199369810706,0.92315,0.9227829845986404,0.0024986797996055642,0.9955401388888889,0.9153800000000001,0.0025214281667341023
CNN ronda 4 (capacidad),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3 + conv_drop=0.1 + [64,128]",0.9227833333333333,0.002783008963134868,0.9231623475365126,0.9227833333333333,0.9224293115591113,0.00300910296067826,0.9955713040123457,0.91584,0.002349127497604163
CNN ronda 4 (capacidad),"CNN-B  BN [32,64]->256,128 dropout+wd + lr=2e-3 + conv_drop=0.1 + [16,32]",0.9172666666666667,0.0032900312392978,0.9171936764290125,0.9172666666666668,0.916582992277122,0.00352047538465205,0.9950240516975309,0.91028,0.0031808175049819767
